
"","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","1:45-2:20","","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","1:00-1:35","1:45-2:20","","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Monday","XII-A","-","S2","CHEMISTRY","BIOLOGY","PHYSICS","-","","XI-A","-","-","-","-","-","-","-","Monday","X-A","-","ENGLISH","BIOLOGY","MATH","PHYSICS","Monday"
"XII-B","-","S2","PHYSICS","CHEMISTRY","BIOLOGY","-","","XI-B","-","-","-","-","-","-","-","X-B","-","2ND LANG","ECO","MATH","HISTORY"
"XII-C","-","S2","PHYSICS","BIOLOGY","CHEMISTRY","-","","XI-C","-","-","-","-","-","-","-","X-C","-","CIVICS","2ND LANG","CHEMISTRY","BIOLOGY"
"XII-D","-","S2","BIOLOGY","PHYSICS","CHEMISTRY","-","","XI-D","-","-","-","-","-","-","-","X-D","-","2ND LANG","BIOLOGY","ENGLISH","GEO"
"XII-E","-","ENGLISH","CHEMISTRY","COMP SC","PHYSICS","-","","XI-E","-","-","-","-","-","-","-","X-E","-","ENGLISH","2ND LANG","CHEMISTRY","MATH"
"XII-F","-","CHEMISTRY","COMP SC","MATH","PHYSICS","-","","XI-F","-","-","-","-","-","-","-","X-F","-","ENGLISH","ENGLISH","2ND LANG","BIOLOGY"
"XII-G","-","PHYSICS","COMP SC","MATH","CHEMISTRY","-","","XI-G","-","-","-","-","-","-","-","X-G","-","2ND LANG","CHEMISTRY","GEO","BIOLOGY"
"XII-H","-","COMP SC","MATH","PHYSICS","CHEMISTRY","-","","XI-H","-","-","-","-","-","-","-","X-H","-","CIVIC","ENGLISH","CHEMISTRY","ECO"
"XII-I","-","PHYSICS","CHEMISTRY","MATH","COMP SC","-","","XI-I","-","-","-","-","-","-","-","X-I","-","MATH","2ND LANG","ENGLISH","ECO"
"XII-J","-","CHEMISTRY","PHYSICS","COMP SC","MATH","-","","XI-J","-","-","-","-","-","-","-","X-J","-","2ND LANG","ECO","ENGLISH","MATH"
"XII-K","-","S2/APPLIED MATH","S5","S3","S4","PE","","XI-K","-","-","-","-","-","-","-","X-K","-","CHEMISTRY","MATH","CIVIC","ENGLISH"
"XII-L","-","COMP SC","PHYSICS","CHEMISTRY","MATH","-","","XI-L","-","-","-","-","-","-","-","X-L","-","MATH","GEO","ENGLISH","ECO"
"XII-M","-","CHEMISTRY","PHYSICS","ECO","MATH","-","","XI-M","-","-","-","-","-","-","-","X-M","-","CHEMISTRY","ENGLISH","ECO","2ND LANG"
"XII-N","-","PHYSICS","MATH","ECO","CHEMISTRY","-","","XI-N","-","-","-","-","-","-","-","X-N","-","ENGLISH","GEO","PHYSICS","BIOLOGY"
"XII-O","-","CHEMISTRY","PHYSICS","PE","MATH","-","","XI-O","-","-","-","-","-","-","-","X-O","-","CHEMISTRY","2ND LANG","CIVIC","ENGLISH"
"XII-P","-","MATH","B.ST","ECO","ACCOUNTS","PE","","XI-P","-","-","-","-","-","-","-","","","","","",""
"XII-Q","-","MATH","ACCOUNTS","B.ST","ECO","PE","","XI-Q","-","-","-","-","-","-","-","","","","","",""
"XII-R","-","MATH/APPLIED MATH","ACCOUNTS","ECO","B.ST","PE","","XI-R","-","-","-","-","-","-","-","","","","","",""
"XII-S","-","MATH/APPLIED MATH","ACCOUNTS","ECO","B.ST","PE","","XI-S","-","-","-","-","-","-","-","","","","","",""
"XII-T","-","MATH/APPLIED MATH","ECO","B.ST","ACCOUNTS","PE","","XI-T","-","-","-","-","-","-","-","","","","","",""
"XII-U","-","S2/APPLIED MATH","S5","S3","S4","PE","","XI-U","-","-","-","-","-","-","-","","","","","",""
"XII-V","-","S2/APPLIED MATH","S5","S3","S4","PE","","XI-V","-","-","-","-","-","-","-","","","","","",""
"XII-W","-","S2/APPLIED MATH","S5","S3","S4","-","","XI-W","-","-","-","-","-","-","-","","","","","",""
"XII-X","","S2/APPLIED MATH","S5","S3","S4","PE","","","","","","","","","","","","","","",""
"","ClSec","7:50-9:30","10:45-11:20","11:30-12:05","12:15-12:50","1:00-1:35","1:45-2:20","","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","1:45-2:20","","","ClSec","7:50-9:30","10:45-11:20","11:30-12:05","12:15-12:50","1:00-1:35",""
"Tuesday","XII-A","-","CHEMISTRY","BIOLOGY","ENGLISH","PHYSICS","-","","XI-A","-","BIOLOGY","P2","ENGLISH","CHEMISTRY","-","-","Tuesday","X-A","-","BIOLOGY","2ND LANG","MATH","CHEMISTRY","Tuesday"
"XII-B","-","BIOLOGY","ENGLISH","PHYSICS","CHEMISTRY","-","","XI-B","-","PHYSICS","P2","BIOLOGY","CHEMISTRY","-","-","X-B","-","2ND LANG","MATH","ENGLISH","CHEMISTRY"
"XII-C","-","ENGLISH","CHEMISTRY","BIOLOGY","PHYSICS","-","","XI-C","-","ENGLISH","P2","CHEMISTRY","BIOLOGY","-","-","X-C","-","HISTORY","ECO","MATH","ENGLISH"
"XII-D","-","PHYSICS","BIOLOGY","ENGLISH","CHEMISTRY","-","","XI-D","-","CHEMISTRY","BIOLOGY","MATH","ENGLISH","-","-","X-D","-","ENGLISH","2ND LANG","MATH","ECO"
"XII-E","-","CHEMISTRY","PHYSICS","MATH","COMP SC","-","","XI-E","-","COMP SC","PHYSICS","CHEMISTRY","MATH","-","-","X-E","-","MATH","PHYSICS","CIVIC","2ND LANG"
"XII-F","-","COMP SC","PHYSICS","ENGLISH","CHEMISTRY","-","","XI-F","-","ENGLISH","MATH","COMP SC","PHYSICS","-","-","X-F","-","2ND LANG","HISTORY","CIVIC","MATH"
"XII-G","-","MATH","PHYSICS","COMP SC","ENGLISH","-","","XI-G","-","CHEMISTRY","PHYSICS","ENGLISH","COMP SC","-","-","X-G","-","ENGLISH","MATH","PHYSICS","2ND LANG"
"XII-H","-","PHYSICS","MATH","CHEMISTRY","ENGLISH","-","","XI-H","-","PHYSICS","COMP SC","ENGLISH","MATH","-","-","X-H","-","GEO","BIOLOGY","ENGLISH","MATH"
"XII-I","-","MATH","ENGLISH","COMP SC","PHYSICS","-","","XI-I","-","PHYSICS","CHEMISTRY","COMP SC","MATH","-","-","X-I","-","ENGLISH","CHEMISTRY","2ND LANG","BIOLOGY"
"XII-J","-","ENGLISH","MATH","COMP SC","PHYSICS","-","","XI-J","-","MATH","ENGLISH","COMP SC","PHYSICS","-","-","X-J","-","2ND LANG","MATH","CIVIC","CHEMISTRY"
"XII-K","-","S5","S3","S4","ENGLISH","-","","XI-K","-","MATH","COMP SC","CHEMISTRY/    ECO","ENGLISH","-","-","X-K","-","MATH","ENGLISH","CHEMISTRY","2ND LANG"
"XII-L","-","COMP SC","CHEMISTRY","PHYSICS","MATH","-","","XI-L","-","ENGLISH","ECO/                  BIO TECH","CHEMISTRY","MATH","-","-","X-L","-","2ND LANG","MATH","PHYSICS","BIOLOGY"
