
"","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","","ClSec","10:00-10:30","10:45-11:15","11:30-12:00","12:15-12:45",""
"","","","","","","","","","","","","",""
"Mon","IX-A","-","-","-","-","-","","VIII-A","SOCIAL SCI","MATH","BIOLOGY","HINDI","Mon"
"IX-B","-","-","-","-","-","","VIII-B","ENGLISH","PHYSICS","3RD LANG","SOCIAL SCI"
"IX-C","-","-","-","-","-","","VIII-C","ENGLISH","PHYSICS","SOCIAL SCI","MATH"
"IX-D","-","-","-","-","-","","VIII-D","BIOLOGY","SOCIAL SCI","ENGLISH","MATH"
"IX-E","-","-","-","-","-","","VIII-E","HINDI","ENGLISH","SOCIAL SCI","MATH"
"IX-F","-","-","-","-","-","","VIII-F","ENGLISH","BIOLOGY","MATH","SOCIAL SCI"
"IX-G","-","-","-","-","-","","VIII-G","BIOLOGY","ENGLISH","HINDI","CHEMISTRY"
"IX-H","-","-","-","-","-","","VIII-H","ENGLISH","SOCIAL SCI","CHEMISTRY","MATH"
"IX-I","-","-","-","-","-","","VIII-I","BIOLOGY","SOCIAL SCI","3RD LANG","MATH"
"IX-J","-","-","-","-","-","","VIII-J","MATH","3RD LANG","ENGLISH","SOCIAL SCI"
"IX-K","-","-","-","-","-","","VIII-K","MATH","CHEMISTRY","SOCIAL SCI","HINDI"
"IX-L","-","-","-","-","-","","","","","",""
"IX-M","-","-","-","-","-","","","","","",""
"IX-N","-","-","-","-","-","","","","","",""
"IX-O","-","-","-","-","-","","","","","",""
"","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","","ClSec","10:00-10:30","10:45-11:15","11:30-12:00","12:15-12:45",""
"Tue","IX-A","-","MATH","GEO","CHE","2ND LANG","","VIII-A","3RD LANG","SOCIAL SCI","MATH","ENGLISH","Tue"
"IX-B","-","-","-","-","-","","VIII-B","HINDI","CHEMISTRY","MATH","BIOLOGY"
"IX-C","-","CHE","2ND LANG","PHY","ENG","","VIII-C","MATH","BIOLOGY","3RD LANG","ENGLISH"
"IX-D","-","ENG","2ND LANG","PHY","GEO","","VIII-D","BIOLOGY","SOCIAL SCI","ENGLISH","MATH"
"IX-E","-","GEO","ECO","2ND LANG","PHY","","VIII-E","3RD LANG","SOCIAL SCI","BIOLOGY","MATH"
"IX-F","-","MATH","ECO","ENG","2ND LANG","","VIII-F","ENGLISH","SOCIAL SCI","HINDI","3RD LANG"
"IX-G","-","HIS","ENG","2ND LANG","BIO","","VIII-G","ENGLISH","SOCIAL SCI","3RD LANG","PHYSICS"
"IX-H","-","2ND LANG","MATH","CIVICS","CHEMISTRY","","VIII-H","3RD LANG","SOCIAL SCI","BIOLOGY","MATH"
"IX-I","-","ENG","CHE","CIVICS","2ND LANG","","VIII-I","HINDI","ENGLISH","BIOLOGY","SOCIAL SCI"
"IX-J","-","CHE","CIVIC","MATH","2ND LANG","","VIII-J","PHYSICS","ENGLISH","SOCIAL SCI","MATH"
"IX-K","-","ENG","CHE","MATH","PHY","","VIII-K","SOCIAL SCI","3RD LANG","MATH","ENGLISH"
"IX-L","-","ENG","MATH","CIVICS","2ND LANG","","","","","",""
"IX-M","-","PHY","ECO","2ND LANG","MATH","","","","","",""
"IX-N","-","ECO","PHY","CIVICS","ENG","","","","","",""
"IX-O","-","MATH","CIVIC","GEO","ECO","","","","","",""
"","ClSec","8:00-8:45","9:00-9:45","10:05-10:50","11:05-11:50","12:05-12:50","","ClSec","9:00-9:40","10:05-10:45","11:05-11:45","12:05-12:45",""
"Wednesday","IX-A","2ND LANG","MATH","BIO","ECO","ENG","","VIII-A","BIOLOGY","CHEMISTRY","3RD LANG","SOCIAL SCI","Wednesday"
"IX-B","-","-","-","-","-","","VIII-B","CHEMISTRY","MATH","ENGLISH","SOCIAL SCI"
"IX-C","CIVICS","ENG","GEO","CHE","MATH","","VIII-C","CHEMISTRY","SOCIAL SCI","MATH","HINDI"
"IX-D","ENG","CIVIC","2ND LANG","CHE","MATH","","VIII-D","3RD LANG","MATH","HINDI","SOCIAL SCI"
"IX-E","BIO","ENG","GEO","2ND LANG","PHY","","VIII-E","HINDI","SOCIAL SCI","ENGLISH","CHEMISTRY"
"IX-F","MATH","GEO","2ND LANG","ENG","BIO","","VIII-F","MATH","CHEMISTRY","SOCIAL SCI","PHYSICS"
"IX-G","CHE","CIVICS","2ND LANG","ENG","MATH","","VIII-G","CHEMISTRY","MATH","SOCIAL SCI","3RD LANG"
"IX-H","ENG","MATH","ECO","PHY","GEO","","VIII-H","PHYSICS","BIOLOGY","MATH","HINDI"
"IX-I","HIS","2ND LANG","BIO","ENG","MATH","","VIII-I","SOCIAL SCI","MATH","CHEMISTRY","ENGLISH"
"IX-J","MATH","BIO","ENG","2ND LANG","PHY","","VIII-J","ENGLISH","MATH","SOCIAL SCI","CHEMISTRY"
"IX-K","MATH","CIVIC","ENG","BIO","2ND LANG","","VIII-K","BIOLOGY","ENGLISH","MATH","3RD LANG"
"IX-L","BIO","ECO","MATH","2ND LANG","CHE","","","","","",""
"IX-M","CHE","CIVICS","ENG","GEO","MATH","","","","","",""
"IX-N","CIVIC","ENG","HIS","MATH","GEO","","","","","",""
"IX-O","MATH","2ND LANG","PHY","BIO","CIVICS","","","","","",""
"","ClSec","8:00-8:45","9:00-9:45","10:05-10:50","11:05-11:50","12:05-12:50","","ClSec","10:00-10:30","10:45-11:15","11:30-12:00","12:15-12:45",""
"Thursday","IX-A","-","-","-","-","-","","VIII-A","MATH","ENGLISH","SOCIAL SCI","CHEMISTRY","Thursday"
"IX-B","-","-","-","-","-","","VIII-B","ENGLISH","SOCIAL SCI","BIOLOGY","MATH"
"IX-C","-","-","-","-","-","","VIII-C","MATH","SOCIAL SCI","HINDI","CHEMISTRY"
"IX-D","-","-","-","-","-","","VIII-D","MATH","CHEMISTRY","HINDI","PHYSICS"
"IX-E","-","-","-","-","-","","VIII-E","MATH","SOCIAL SCI","CHEMISTRY","3RD LANG"
"IX-F","-","-","-","-","-","","VIII-F","HINDI","MATH","CHEMISTRY","SOCIAL SCI"
"IX-G","-","-","-","-","-","","VIII-G","ENGLISH","HINDI","SOCIAL SCI","MATH"
"IX-H","-","-","-","-","-","","VIII-H","3RD LANG","ENGLISH","SOCIAL SCI","CHEMISTRY"
"IX-I","-","-","-","-","-","","VIII-I","ENGLISH","MATH","CHEMISTRY","HINDI"
"IX-J","-","-","-","-","-","","VIII-J","CHEMISTRY","SOCIAL SCI","BIOLOGY","HINDI"
"IX-K","-","-","-","-","-","","VIII-K","PHYSICS","BIOLOGY","SOCIAL SCI","HINDI"
"IX-L","-","-","-","-","-","","","","","",""
"IX-M","-","-","-","-","-","","","","","",""
"IX-N","-","-","-","-","-","","","","","",""
"IX-O","-","-","-","-","-","","","","","",""
"","ClSec","8:00-8:45","9:00-9:45","10:05-10:50","11:05-11:50","12:05-12:50","","ClSec","9:00-9:40","10:05-10:45","11:05-11:45","12:05-12:45",""
"Friday","IX-A","-","-","-","-","-","","VIII-A","HINDI","MATH","PHYSICS","ENGLISH","Friday"
"IX-B","-","-","-","-","-","","VIII-B","3RD LANG","HINDI","MATH","SOCIAL SCI"
"IX-C","-","-","-","-","-","","VIII-C","3RD LANG","ENGLISH","BIOLOGY","SOCIAL SCI"
"IX-D","-","-","-","-","-","","VIII-D","CHEMISTRY","SOCIAL SCI","ENGLISH","3RD LANG"
"IX-E","-","-","-","-","-","","VIII-E","ENGLISH","BIOLOGY","MATH","PHYSICS"
"IX-F","-","-","-","-","-","","VIII-F","ENGLISH","BIOLOGY","3RD LANG","MATH"
"IX-G","-","-","-","-","-","","VIII-G","BIOLOGY","SOCIAL SCI","MATH","MATH"
"IX-H","-","-","-","-","-","","VIII-H","MATH","ENGLISH","SOCIAL SCI","HINDI"
"IX-I","-","-","-","-","-","","VIII-I","3RD LANG","PHYSICS","SOCIAL SCI","MATH"
"IX-J","-","-","-","-","-","","VIII-J","BIOLOGY","HINDI","MATH","3RD LANG"
"IX-K","-","-","-","-","-","","VIII-K","MATH","CHEMISTRY","SOCIAL SCI","ENGLISH"
"IX-L","-","-","-","-","-","","","","","",""
"IX-M","-","-","-","-","-","","","","","",""
"IX-N","-","-","-","-","-","","","","","",""
"IX-O","-","-","-","-","-","","","","","",""
"","","79","79","79","","79","","","59","59","59","59",""
"","","","","","","","","","","","","",""
