
"","ClSec","10:00-10:30","10:45-11:15","11:30-12:00","12:15-12:45","","ClSec","10:00-10:30","10:45-11:15","11:30-12:00","12:15-12:45",""
"","","","","","","","","","","","",""
"Mon","VII-A","PHYSICS","SOCIAL SCI","HINDI","3RD LANG","","VI-A","HINDI","SCIENCE","MATH","SOCIAL SCI","Mon"
"VII-B","3RD LANG","HINDI","MATH","SOCIAL SCI","","VI-B","SCIENCE","MATH","3RD LANG","SOCIAL SCI"
"VII-C","SOCIAL SCI","MATH","HINDI","PHYSICS","","VI-C","MATH","ENGLISH","3RD LANG","SOCIAL SCI"
"VII-D","MATH","SOCIAL SCI","PHYSICS","BIO-CHEM","","VI-D","SOCIAL SCI","3RD LANG","MATH","ENGLISH"
"VII-E","3RD LANG","SOCIAL SCI","MATH","ENGLISH","","VI-E","SOCIAL SCI","SCIENCE","MATH","ENGLISH"
"VII-F","MATH","SOCIAL SCI","HINDI","PHYSICS","","VI-F","SOCIAL SCI","ENGLISH","SCIENCE","MATH"
"VII-G","ENGLISH","MATH","HINDI","SOCIAL SCI","","VI-G","MATH","HINDI","SCIENCE","SOCIAL SCI"
"VII-H","PHYSICS","MATH","ENGLISH","SOCIAL SCI","","VI-H","MATH","SOCIAL SCI","3RD LANG","HINDI"
"VII-I","3RD LANG","MATH","SOCIAL SCI","HINDI","","VI-I","HINDI","3RD LANG","SOCIAL SCI","SCIENCE"
"VII-J","ENGLISH","HINDI","SOCIAL SCI","MATH","","VI-J","HINDI","MATH","SOCIAL SCI","ENGLISH"
"VII-K","BIO-CHEM","HINDI","ENGLISH","SOCIAL SCI","","VI-K","HINDI","SCIENCE","SOCIAL SCI","3RD LANG"
"","ClSec","10:00-10:30","10:45-11:15","11:30-12:00","12:15-12:45","","ClSec","10:00-10:30","10:45-11:15","11:30-12:00","12:15-12:45",""
"Tue","VII-A","SOCIAL SCI","BIO-CHEM","ENGLISH","MATH","","VI-A","SOCIAL SCI","HINDI","ENGLISH","SCIENCE","Tue"
"VII-B","MATH","ENGLISH","PHYSICS","SOCIAL SCI","","VI-B","SOCIAL SCI","MATH","SCIENCE","HINDI"
"VII-C","MATH","HINDI","SOCIAL SCI","ENGLISH","","VI-C","SCIENCE","HINDI","ENGLISH","SOCIAL SCI"
"VII-D","MATH","BIO-CHEM","SOCIAL SCI","ENGLISH","","VI-D","SOCIAL SCI","HINDI","SCIENCE","3RD LANG"
"VII-E","SOCIAL SCI","ENGLISH","MATH","HINDI","","VI-E","HINDI","SOCIAL SCI","3RD LANG","SCIENCE"
"VII-F","MATH","ENGLISH","BIO-CHEM","SOCIAL SCI","","VI-F","ENGLISH","3RD LANG","SOCIAL SCI","HINDI"
"VII-G","SOCIAL SCI","MATH","3RD LANG","BIO-CHEM","","VI-G","MATH","3RD LANG","ENGLISH","SOCIAL SCI"
"VII-H","ENGLISH","MATH","HINDI","SOCIAL SCI","","VI-H","ENGLISH","MATH","SCIENCE","SOCIAL SCI"
"VII-I","MATH","HINDI","SOCIAL SCI","ENGLISH","","VI-I","3RD LANG","ENGLISH","SOCIAL SCI","MATH"
"VII-J","BIO-CHEM","SOCIAL SCI","MATH","HINDI","","VI-J","SCIENCE","MATH","SOCIAL SCI","3RD LANG"
"VII-K","SOCIAL SCI","BIO-CHEM","ENGLISH","MATH","","VI-K","SOCIAL SCI","ENGLISH","3RD LANG","MATH"
"","ClSec","9:00-9:40","10:05-10:45","11:05-11:45","12:05-12:45","","ClSec","9:00-9:40","10:05-10:45","11:05-11:45","12:05-12:45",""
"Wed","VII-A","MATH","ENGLISH","BIO-CHEM","SOCIAL SCI","","VI-A","MATH","HINDI","SOCIAL SCI","SCIENCE","Wed"
"VII-B","MATH","ENGLISH","SOCIAL SCI","HINDI","","VI-B","ENGLISH","SCIENCE","SOCIAL SCI","HINDI"
"VII-C","SOCIAL SCI","ENGLISH","MATH","3RD LANG","","VI-C","HINDI","SOCIAL SCI","ENGLISH","MATH"
